,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Punta Arenas,28,CL,41,-53.16,-70.91,13.94,4.6
1,Coihueco,0,CL,34,-36.63,-71.83,27.0,4.6
2,Rikitea,98,PF,72,-23.12,-134.97,26.51,2.47
3,Saint-Augustin,90,CA,74,45.63,-73.98,1.84,6.2
4,Mataura,67,NZ,73,-46.19,168.86,12.78,6.71
5,Zambezi,100,ZM,85,-13.55,23.12,19.98,2.41
6,Codrington,63,AU,48,-28.95,153.24,30.24,1.5
7,Cayenne,65,GF,88,4.94,-52.33,24.0,1.86
8,Kodiak,1,US,75,39.95,-94.76,5.83,2.6
9,Langen,75,DE,86,53.61,8.6,4.99,7.2
10,Severo-Kurilsk,32,RU,82,50.68,156.12,-7.25,1.62
11,New Norfolk,75,AU,59,-42.78,147.06,19.24,4.6
12,Lasa,75,CY,87,34.92,32.53,10.13,3.6
13,Maniitsoq,98,GL,80,65.42,-52.9,-5.96,6.9
14,Reisterstown,1,US,57,39.47,-76.83,7.44,2.6
15,Dongkan,100,CN,82,34.0,119.83,5.78,1.73
16,Hobart,75,AU,59,-42.88,147.33,19.24,4.6
17,Provideniya,0,RU,71,64.42,-173.23,-23.46,5.74
18,Cherskiy,62,RU,71,68.75,161.3,-18.21,6.01
19,Butaritari,100,KI,83,3.07,172.79,27.66,6.81
20,Ushuaia,40,AR,61,-54.81,-68.31,11.0,12.9
21,Aksarka,17,RU,91,66.56,67.8,-19.65,4.43
22,Tarko-Sale,100,RU,82,64.92,77.78,-22.22,3.98
23,Bambous Virieux,75,MU,94,-20.34,57.76,25.0,1.5
24,Xingyi,91,CN,96,24.19,102.82,9.64,1.7
25,Klaksvik,72,FO,74,62.23,-6.59,1.0,9.3
26,Lubumbashi,100,CD,98,-11.66,27.48,17.83,0.72
27,Talnakh,75,RU,84,69.49,88.39,-17.0,11.0
28,Redwater,90,CA,58,53.95,-113.11,-2.5,10.3
29,Isangel,40,VU,74,-19.55,169.27,27.0,4.1
30,Tavricheskoye,75,RU,91,54.59,73.64,1.0,5.0
31,Launceston,40,AU,42,-41.43,147.14,21.08,3.1
32,Svetlaya,95,RU,62,46.54,138.33,-12.08,4.73
33,Yulara,14,AU,33,-25.24,130.99,32.0,4.1
34,Busselton,0,AU,90,-33.64,115.35,14.19,0.45
35,Hithadhoo,0,MV,75,-0.6,73.08,28.22,5.42
36,Pierre,90,US,98,44.37,-100.35,2.15,3.1
37,Ponta do Sol,100,BR,90,-20.63,-46.0,20.51,0.89
38,Samarai,61,PG,66,-10.62,150.67,29.91,1.82
39,Hermanus,13,ZA,95,-34.42,19.24,15.43,3.43
40,Bubaque,92,GW,62,11.28,-15.83,26.1,6.61
41,Saint George,20,GR,79,39.45,22.34,0.75,1.5
42,Port Blair,14,IN,72,11.67,92.75,27.7,7.51
43,Bluff,44,AU,58,-23.58,149.07,27.78,5.6
44,Loding,34,DE,100,48.05,12.68,-3.41,1.0
45,Singkang,20,MY,88,2.1,102.8,23.93,1.0
46,Yellowknife,90,CA,84,62.45,-114.38,-14.23,3.1
47,Geraldton,90,CA,92,49.72,-86.95,-3.0,4.1
48,Kapaa,75,US,83,22.08,-159.32,25.63,7.2
49,Cape Town,20,ZA,82,-33.93,18.42,18.98,8.7
50,Thul,85,PK,87,28.24,68.77,6.0,2.89
51,Kortkeros,90,RU,100,61.81,51.56,-7.0,6.0
52,Saint Anthony,90,US,79,43.97,-111.68,-7.72,3.6
53,Ahipara,93,NZ,67,-35.17,173.16,28.89,0.89
54,Oriximina,85,BR,66,-1.77,-55.87,28.66,1.42
55,Georgetown,20,GY,69,6.8,-58.16,25.86,2.1
56,Vallenar,0,CL,77,-28.58,-70.76,14.76,1.87
57,Castro,39,CL,63,-42.48,-73.76,19.0,2.6
58,Sheridan,1,US,51,39.65,-105.03,0.31,2.1
59,High Level,90,CA,92,58.52,-117.13,-14.0,2.1
60,Kurilsk,95,RU,69,45.23,147.88,-4.26,4.31
61,Nanortalik,92,GL,39,60.14,-45.24,0.05,6.04
62,Flinders,90,AU,57,-34.58,150.85,25.82,4.1
63,East London,91,ZA,88,-33.02,27.91,22.97,6.86
64,Saint-Philippe,90,CA,80,45.36,-73.48,1.94,5.7
65,Albany,90,US,48,42.65,-73.75,2.78,5.1
66,Meulaboh,98,ID,79,4.14,96.13,27.02,3.44
67,Sisimiut,100,GL,89,66.94,-53.67,-10.46,4.38
68,Puerto Ayora,75,EC,69,-0.74,-90.35,24.38,6.7
69,Chuy,34,UY,87,-33.69,-53.46,19.49,4.36
70,Ribeira Grande,26,PT,75,38.52,-28.7,12.91,3.83
71,Biak,100,ID,70,-0.91,122.88,27.86,1.66
72,Grand-Santi,98,GF,86,4.27,-54.38,22.19,1.4
73,Bredasdorp,0,ZA,82,-34.53,20.04,14.74,1.5
74,Ocean City,90,US,94,30.44,-86.61,20.72,6.7
75,Ternate,75,PH,65,14.29,120.72,27.54,1.5
76,Mount Isa,89,AU,26,-20.73,139.49,35.0,3.6
77,Luangwa,100,MZ,88,-15.62,30.4,23.73,0.62
78,Moron,39,HT,74,18.56,-74.26,26.32,1.03
79,Vaini,0,IN,100,15.34,74.49,14.0,0.63
80,Mar del Plata,0,AR,25,-46.43,-67.52,29.12,10.26
81,Khatanga,100,RU,98,71.98,102.47,-21.47,1.08
82,Bonthe,20,SL,74,7.53,-12.5,25.36,2.25
83,Naze,79,NG,49,5.43,7.07,21.0,2.6
84,Jamestown,30,AU,9,-33.21,138.6,31.19,8.52
85,Spirit River,75,CA,53,55.78,-118.84,-3.75,7.2
86,Zyryanka,86,RU,88,65.73,150.89,-27.97,1.53
87,Celica,94,EC,83,-4.1,-79.96,20.8,1.18
88,Narsaq,100,GL,53,60.91,-46.05,-6.0,0.5
89,Souillac,75,FR,100,45.6,-0.6,6.07,2.1
90,Bayan,84,CN,57,36.1,102.26,-8.29,1.42
91,Ilulissat,100,GL,72,69.22,-51.1,-11.0,5.7
92,Krasnoshchekovo,47,RU,73,51.67,82.73,-3.83,5.71
93,Los Llanos de Aridane,83,ES,58,28.66,-17.92,15.0,3.6
94,Upernavik,100,GL,61,72.79,-56.15,-17.52,7.09
95,Tuatapere,32,NZ,73,-46.13,167.69,12.78,6.71
96,Kruisfontein,54,ZA,93,-34.0,24.73,17.39,1.64
97,Deputatskiy,17,RU,82,69.3,139.9,-31.72,0.89
98,Mahebourg,75,MU,94,-20.41,57.7,25.0,1.5
99,Port Alfred,76,ZA,93,-33.59,26.89,20.56,3.94
100,Atuona,0,PF,74,-9.8,-139.03,27.28,6.36
101,Brigantine,1,US,70,39.41,-74.36,7.39,2.1
102,Inhambane,14,MZ,82,-23.87,35.38,25.68,4.64
103,Bhinmal,48,IN,88,25.01,72.27,12.19,1.6
104,Torbay,75,CA,86,47.66,-52.73,-0.95,5.7
105,Marrakesh,12,MA,76,31.63,-7.99,10.0,3.1
106,Sao Filipe,99,CV,75,14.9,-24.5,21.4,7.08
107,Banda Aceh,31,ID,88,5.56,95.32,22.18,2.72
108,Wamba,100,CD,59,2.14,27.99,23.87,1.5
109,Chumikan,99,RU,78,54.72,135.31,-23.06,5.94
110,Camacha,20,PT,68,33.08,-16.33,18.0,5.1
111,Ostrovnoy,100,RU,95,68.05,39.51,1.9,11.02
112,Barrow,0,AR,63,-38.31,-60.23,19.66,1.09
113,Flic en Flac,75,MU,94,-20.27,57.36,25.0,1.5
114,Arraial do Cabo,100,BR,86,-22.97,-42.02,24.93,3.05
115,Victoria,75,BN,74,5.28,115.24,27.32,1.5
116,Husavik,64,CA,89,50.56,-96.99,-6.67,1.79
117,Itupiranga,90,BR,100,-5.13,-49.33,25.0,1.0
118,Palmer,31,AU,7,-34.85,139.16,35.46,6.2
119,Lagos,0,NG,73,6.46,3.39,23.0,5.1
120,Iqaluit,90,CA,85,63.75,-68.52,-12.11,2.6
121,Virtsu,90,EE,86,58.57,23.51,4.58,7.2
122,Bridlington,100,GB,93,54.08,-0.19,9.68,8.7
123,Gayeri,0,BF,19,12.65,0.49,13.68,4.29
124,Brandfort,51,ZA,60,-28.7,26.46,20.0,5.1
125,Kampot,20,KH,73,10.62,104.18,24.49,1.5
126,Ca Mau,22,VN,70,9.18,105.15,24.88,3.52
127,Amga,96,RU,98,60.89,131.98,-34.77,0.99
128,Pangkalanbuun,100,ID,94,-2.68,111.62,25.1,0.57
129,Qaanaaq,4,GL,63,77.48,-69.36,-39.66,2.37
130,Kahului,40,US,65,20.89,-156.47,24.51,6.2
131,Cap Malheureux,75,MU,94,-19.98,57.61,25.0,1.5
132,Sioux Lookout,90,CA,85,50.1,-91.92,-9.59,5.1
133,Sigli,33,ID,77,5.38,95.96,27.22,5.12
134,Aswan,22,EG,50,24.09,32.9,10.88,6.31
135,Tuktoyaktuk,75,CA,75,69.44,-133.03,-25.0,7.2
136,Nikolskoye,90,RU,80,59.7,30.79,4.61,4.0
137,Esperance,90,AU,87,-33.86,121.89,16.0,5.1
138,Pacific Grove,1,US,59,36.62,-121.92,14.15,6.14
139,Roald,100,NO,93,62.58,6.12,4.0,12.3
140,Ocos,75,GT,78,14.51,-92.19,28.0,3.1
141,Bosaso,26,SO,82,11.28,49.18,25.54,7.58
142,Orsha,92,BY,95,54.51,30.43,0.91,4.67
143,Auki,0,NG,23,12.18,6.51,12.54,8.14
144,Murray Bridge,12,AU,13,-35.12,139.28,35.34,3.13
145,Hami,0,CN,60,42.84,93.51,-8.81,0.88
146,Belmonte,99,PT,29,40.36,-7.35,5.73,4.02
147,Baykit,67,RU,98,61.68,96.39,-16.45,1.05
148,Lebu,43,ET,92,8.96,38.73,11.31,1.02
149,Presidencia Roque Saenz Pena,33,AR,56,-26.79,-60.44,24.19,1.94
150,Tasiilaq,2,GL,40,65.61,-37.64,-10.0,8.7
151,Saskylakh,58,RU,92,71.97,114.09,-27.42,4.01
152,Ako,40,JP,75,34.79,134.38,8.42,1.5
153,Porto Novo,90,BR,88,-23.68,-45.44,22.0,2.1
154,Port Hardy,90,CA,93,50.7,-127.42,2.0,14.4
155,Kaitangata,74,NZ,64,-46.28,169.85,11.82,13.45
156,Dracena,48,BR,57,-21.48,-51.54,26.72,2.02
157,San Patricio,50,PY,60,-26.98,-56.83,26.01,2.81
158,Port Lincoln,65,AU,15,-34.72,135.86,32.94,7.96
159,Chippewa Falls,90,US,80,44.94,-91.39,0.38,2.1
160,Vila Velha,20,BR,83,-3.71,-38.6,28.1,1.5
161,Komsomolets,99,RU,97,52.77,41.29,-0.1,3.27
162,Norman Wells,90,CA,76,65.28,-126.83,-20.0,5.7
163,Espera Feliz,100,BR,99,-20.65,-41.91,18.66,0.72
164,Arkhara,9,RU,92,49.42,130.09,-25.43,2.88
165,Laguna,40,BZ,83,16.17,-88.94,26.0,2.1
166,ChengDe,0,CN,74,40.97,117.93,-11.11,1.44
167,Yongzhou,100,CN,79,26.46,111.6,7.67,2.0
168,Linhares,82,BR,88,-19.38,-40.06,24.82,3.05
169,Ancud,0,CL,63,-41.87,-73.83,19.0,2.6
170,Longyearbyen,20,NO,59,78.22,15.63,-16.0,7.7
171,North Bend,90,US,71,43.41,-124.22,10.42,4.6
172,Hilo,1,US,57,19.71,-155.08,22.04,3.1
173,Lorengau,28,PG,73,-2.02,147.27,29.42,4.01
174,Port Hedland,99,AU,70,-20.31,118.58,31.0,3.6
175,Kyshtovka,100,RU,96,56.56,76.62,-0.4,5.16
176,Mount Gambier,35,AU,38,-37.83,140.78,25.0,6.2
177,Andros Town,52,BS,69,24.73,-77.79,23.33,0.89
178,Krasnoturansk,84,RU,68,54.32,91.57,-4.0,2.0
179,Cabo San Lucas,5,MX,72,22.89,-109.91,20.14,8.2
180,Avera,90,US,100,33.19,-82.53,10.06,1.5
181,Guerrero Negro,0,MX,66,27.97,-114.04,16.91,3.03
182,Ribnica,0,SI,92,45.74,14.73,-3.32,1.0
183,Katobu,100,ID,86,-4.94,122.53,26.3,0.25
184,Gizo,40,IL,66,31.8,34.94,10.92,4.6
185,Margate,75,AU,59,-43.03,147.26,19.24,4.6
186,Oxkutzcab,41,MX,62,20.3,-89.42,27.28,3.09
187,Dikson,100,RU,91,73.51,80.55,-17.18,10.67
188,Sao Joao da Barra,86,BR,91,-21.64,-41.05,24.32,4.83
189,Pangai,20,TO,54,-19.8,-174.35,28.0,4.1
190,Maceio,70,BR,88,-9.67,-35.74,25.0,3.1
191,Beringovskiy,0,RU,80,63.05,179.32,-23.78,7.01
192,Rosetta,40,EG,81,31.4,30.42,11.0,5.7
193,Rosarito,40,CO,78,4.91,-75.23,23.5,1.5
194,Blackwater,100,GB,93,51.33,-0.78,10.16,6.7
195,Forbes,0,AU,20,-33.38,148.01,37.78,0.45
196,Bose,14,IT,74,45.46,8.01,1.29,2.1
197,Urusha,96,RU,90,54.05,122.9,-24.49,1.19
198,Sawtell,3,AU,61,-30.38,153.1,29.3,8.7
199,Dauphin,90,CA,92,51.15,-100.04,-3.0,5.1
200,Thouars,75,FR,100,46.98,-0.22,7.65,3.6
201,Taoudenni,95,ML,24,22.68,-3.98,12.53,5.2
202,Mpigi,20,UG,88,0.23,32.32,22.0,4.66
203,San Quintin,28,PH,75,17.54,120.52,21.74,2.46
204,Kisangani,100,CD,86,0.52,25.21,22.55,1.26
205,La Ronge,90,CA,92,55.1,-105.3,-2.0,1.5
206,Nelson Bay,75,AU,65,-32.72,152.14,27.1,4.6
207,Dogondoutchi,0,NE,19,13.64,4.03,14.1,6.52
208,Champerico,5,MX,51,16.38,-93.6,27.0,3.6
209,Krasnyy Klyuch,97,RU,99,55.39,56.65,-18.12,2.11
210,Chokurdakh,9,RU,93,70.62,147.9,-30.73,1.48
211,Bethel,40,US,75,60.79,-161.76,-24.38,4.6
212,Batagay-Alyta,50,RU,81,67.8,130.41,-25.02,2.59
213,Ust-Nera,98,RU,98,64.57,143.24,-22.71,1.36
214,Broome,100,GB,87,52.47,1.45,9.87,7.2
215,Berezanka,95,UA,81,46.86,31.39,-0.97,3.2
216,Thompson,90,CA,84,55.74,-97.86,-14.0,1.0
217,Teknaf,100,BD,86,20.86,92.31,17.87,1.2
218,Lagoa,75,PT,87,37.14,-8.45,14.33,2.6
219,Mwinilunga,75,ZM,98,-11.73,24.43,17.28,1.22
220,Melbu,100,NO,83,68.5,14.83,3.89,4.47
221,Katsuura,40,JP,75,33.93,134.5,8.72,1.5
222,Anchorage,75,US,84,61.22,-149.89,-15.24,1.51
223,Tres Arroyos,39,AR,66,-38.38,-60.28,20.17,0.81
224,Chicama,75,PE,83,-7.84,-79.15,21.0,4.1
225,Clyde River,90,CA,76,70.47,-68.59,-23.0,7.2
226,Avarua,67,CK,74,-21.21,-159.78,26.0,3.1
227,Vardo,75,US,45,39.62,-77.74,7.65,2.6
228,Fortuna,20,US,81,40.6,-124.16,11.1,2.6
229,Nemuro,20,JP,68,43.32,145.57,-4.0,3.1
230,Kavaratti,43,IN,81,10.57,72.64,27.54,7.02
231,Barsovo,84,RU,92,61.17,73.17,-14.0,3.0
232,Pevek,100,RU,64,69.7,170.27,-16.79,6.01
233,Kloulklubed,90,PW,78,7.04,134.26,27.0,4.1
234,Pangnirtung,0,CA,39,66.15,-65.72,-19.87,0.5
235,Rong Kwang,40,TH,100,18.34,100.32,17.0,0.9
236,Ushtobe,30,KZ,73,45.25,77.98,-5.21,2.08
237,Sterling,1,US,61,39.0,-77.4,8.68,3.1
238,Cove,75,US,93,29.8,-94.84,17.22,4.61
239,Gorgan,75,IR,81,36.84,54.43,9.0,2.1
240,Hambantota,1,LK,83,6.12,81.12,26.58,8.12
241,Yekaterinovka,98,RU,82,46.69,38.75,0.12,3.2
242,Grave,0,DE,86,51.91,9.46,3.95,5.7
243,Marzuq,0,YE,75,14.4,46.47,16.85,1.81
244,Dingle,100,PH,90,11.0,122.67,24.34,5.98
245,Mudon,8,MM,71,16.26,97.73,22.84,2.66
246,Zhigansk,0,RU,94,66.77,123.37,-36.87,3.85
247,Bani Walid,0,LY,76,31.76,14.0,9.16,4.1
248,Nyurba,100,RU,98,63.29,118.35,-22.94,1.21
249,Imeni Poliny Osipenko,94,RU,86,52.42,136.49,-22.41,0.24
250,Bara,0,NG,23,10.41,10.6,12.61,4.11
251,Faanui,100,PF,75,-16.48,-151.75,27.39,5.5
252,Acapulco,40,MX,74,16.86,-99.88,28.0,2.6
253,Grindavik,75,IS,92,63.84,-22.43,-4.0,12.9
254,Freetown,40,BS,83,26.61,-78.36,23.0,2.1
255,Kozhva,100,RU,93,65.11,57.05,-13.74,6.9
256,Pisco,28,PE,73,-13.71,-76.2,22.26,8.2
257,Lavrentiya,23,RU,89,65.58,-170.99,-24.49,5.66
258,Hauterive,90,CA,79,49.18,-68.27,-3.76,3.1
259,Tiksi,0,RU,65,71.64,128.87,-28.68,1.94
260,Poum,8,MK,41,41.28,20.71,-1.67,1.15
